date,pre_total,contrib,liquid,post_ndx_val,post_qqq_val,post_total,ndx_pct,qqq_pct,ndx_holding
2012-04-09,208136,26880.0,234910,58697,176093,234790,25.0,75.0,AAPL
2013-04-08,218920,26880.0,245689,61390,184173,245564,25.0,75.0,AAPL
2014-04-07,309103,26880.0,335826,83914,251743,335656,25.0,75.0,AAPL
2016-04-06,452940,26880.0,479592,119837,359513,479350,25.0,75.0,MSFT
2017-04-06,601148,26880.0,627725,156852,470558,627409,25.0,75.0,AAPL
2019-04-08,928444,26880.0,954857,238594,715784,954378,25.0,75.0,MSFT
2020-04-06,1219566,26880.0,1245834,311302,933908,1245210,25.0,75.0,AAPL
2021-04-06,2273427,26880.0,2299169,574504,1723514,2298018,25.0,75.0,MSFT
2023-04-06,3116713,26880.0,3142033,785115,2355346,3140461,25.0,75.0,AMZN
2024-04-08,3876095,26880.0,3901035,974770,2924313,3899083,25.0,75.0,AAPL
2025-04-07,4912181,26880.0,4936603,1233533,3700601,4934134,25.0,75.0,NVDA
2026-04-06,7378587,26880.0,7401776,1849518,5548557,7398075,25.0,75.0,NVDA
