date,pre_total,contrib,post_ndx_val,post_qqq_val,post_ndx_pct,ndx_holding
2012-04-09,208136,26880.0,58697,176093,25.0,AAPL
2013-04-08,218920,26880.0,61390,184173,25.0,AAPL
2014-04-07,309103,26880.0,83914,251743,25.0,AAPL
2016-04-06,452940,26880.0,119837,359513,25.0,MSFT
2017-04-06,601148,26880.0,156852,470558,25.0,AAPL
2019-04-08,928444,26880.0,238594,715784,25.0,MSFT
2020-04-06,1219566,26880.0,311302,933908,25.0,AAPL
2021-04-06,2273427,26880.0,574504,1723514,25.0,MSFT
2023-04-06,3116713,26880.0,785115,2355346,25.0,AMZN
2024-04-08,3876095,26880.0,974770,2924313,25.0,AAPL
2025-04-07,4912181,26880.0,1233533,3700601,25.0,NVDA
2026-04-06,7378587,26880.0,1849518,5548557,25.0,NVDA
