years,n_windows,strategy_avg_return_pct,strategy_avg_final_usd,strategy_median_return_pct,strategy_median_final_usd,strategy_worst_return_pct,strategy_best_return_pct,strategy_pct_losing_windows,buyhold_avg_return_pct,buyhold_avg_final_usd,buyhold_median_return_pct,buyhold_median_final_usd,buyhold_worst_return_pct,buyhold_best_return_pct,buyhold_pct_losing_windows
1,5907,68.9,168884,50.0,149976,-62.4,655.9,8.2,44.9,144895,41.5,141536,-91.7,413.0,24.1
2,5655,184.0,283986,137.9,237900,-62.4,1153.6,3.7,97.1,197057,76.7,176671,-90.1,752.0,19.6
3,5403,365.7,465719,252.0,351967,-62.4,2021.0,3.9,153.8,253835,158.4,258353,-89.6,991.3,18.4
4,5151,664.5,764516,484.8,584849,-62.4,3195.2,4.1,232.5,332527,194.5,294478,-88.1,1114.2,19.6
5,4899,1220.2,1320165,857.9,957919,-62.4,5546.9,4.3,391.5,491542,290.0,390027,-88.1,2573.5,22.4
6,4647,2150.9,2250890,1341.2,1441235,-65.2,8364.0,2.5,561.0,660984,427.6,527629,-70.5,3950.2,19.1
7,4395,3466.0,3566046,2388.5,2488452,37.7,14937.1,0.0,781.4,881381,624.9,724942,-94.6,4075.9,10.6
8,4143,5424.4,5524407,3606.8,3706769,277.8,21718.4,0.0,1213.3,1313310,766.8,866847,-82.2,6772.8,5.5
9,3891,8993.3,9093337,5988.1,6088080,439.5,37853.7,0.0,1803.6,1903554,1089.8,1189767,-70.5,14822.0,2.6
10,3639,13899.4,13999431,11370.7,11470723,603.1,71102.3,0.0,2344.1,2444072,1659.8,1759850,-72.0,13111.1,2.6
11,3387,21715.6,21815559,19418.0,19518047,1414.1,90082.2,0.0,3236.7,3336684,1890.1,1990080,-59.1,18988.0,2.2
12,3135,38358.5,38458461,32472.7,32572734,2124.9,220651.6,0.0,4785.5,4885461,2042.1,2142106,-14.2,42487.7,0.3
13,2883,66958.8,67058778,55113.0,55213009,2478.0,556577.5,0.0,5693.0,5793007,2259.8,2359836,32.8,66493.7,0.0
14,2631,102318.9,102418933,93710.2,93810203,3149.5,510263.3,0.0,5829.9,5929943,3576.1,3676091,23.0,22919.1,0.0
15,2379,155998.7,156098740,165589.0,165689016,7259.7,660233.1,0.0,8029.3,8129331,3576.0,3675954,108.2,58870.6,0.0
16,2127,245793.1,245893079,214008.7,214108670,8280.7,1297518.6,0.0,9594.6,9694584,4320.3,4420271,372.0,68252.3,0.0
17,1875,428410.2,428510249,214008.7,214108670,18763.4,3954139.6,0.0,10539.0,10638987,5096.2,5196201,274.9,96153.7,0.0
18,1623,464929.3,465029327,218099.0,218199025,45124.6,2009300.7,0.0,6865.1,6965097,6231.8,6331811,319.8,18657.8,0.0
19,1371,558443.0,558543034,319679.6,319779594,161874.5,2431925.8,0.0,8552.2,8652187,7601.0,7701017,1458.1,34408.4,0.0
20,1119,659094.2,659194163,438075.1,438175060,147868.9,2431925.8,0.0,8063.7,8163740,8052.9,8152876,1961.5,21193.6,0.0
