years,n_windows,initial_usd,strategy_avg_final_usd,strategy_avg_return_pct,strategy_median_final_usd,strategy_median_return_pct,strategy_worst_final_usd,strategy_best_final_usd,strategy_pct_losing_windows,buyhold_avg_final_usd,buyhold_avg_return_pct,buyhold_median_final_usd,buyhold_median_return_pct,buyhold_worst_final_usd,buyhold_best_final_usd,buyhold_pct_losing_windows
1,5910,100000,160650,60.6,143319,43.3,13065,707984,16.7,144383,44.4,140947,40.9,7986,511454,24.5
2,5658,100000,259037,159.0,197288,97.3,55625,1120653,3.4,196203,96.2,175572,75.6,9778,837386,19.7
3,5406,100000,402258,302.3,324277,224.3,60835,1841613,1.1,252649,152.6,257856,157.9,10187,1065971,18.6
4,5154,100000,612769,512.8,545932,445.9,59869,2516761,0.4,330933,230.9,290804,190.8,11935,1193430,19.8
5,4902,100000,1043335,943.3,846478,746.5,97978,4405078,0.0,488991,389.0,391002,291.0,11659,2688293,22.6
6,4650,100000,1727412,1627.4,1250756,1150.8,89818,9666295,0.0,658322,558.3,525114,425.1,25647,4093983,20.5
7,4398,100000,2531563,2431.6,1956567,1856.6,130360,16901940,0.0,877739,777.7,725937,625.9,5214,4150968,12.1
8,4146,100000,3667768,3567.8,2961465,2861.5,333311,16287274,0.0,1306710,1206.7,870447,770.4,16909,6751276,6.3
9,3894,100000,5794439,5694.4,4301794,4201.8,625986,26169346,0.0,1893928,1793.9,1188683,1088.7,27642,14599954,2.8
10,3642,100000,8368612,8268.6,6818663,6718.7,857512,48631841,0.0,2432551,2332.6,1744563,1644.6,26016,13804179,2.7
11,3390,100000,12178142,12078.1,11221339,11121.3,1352615,43104306,0.0,3316591,3216.6,2027315,1927.3,38510,19204314,2.2
12,3138,100000,20013039,19913.0,15418679,15318.7,2602318,77880892,0.0,4848927,4748.9,2108126,2008.1,79534,43372086,0.4
13,2886,100000,32632765,32532.8,24406535,24306.5,2854776,198268180,0.0,5755730,5655.7,2319087,2219.1,121924,69841960,0.0
14,2634,100000,50394368,50294.4,48668989,48569.0,3304086,200793770,0.0,5876832,5776.8,3592197,3492.2,115245,23145757,0.0
15,2382,100000,81997356,81897.4,74008253,73908.3,6487068,276487732,0.0,8039067,7939.1,3574658,3474.7,193560,59040230,0.0
16,2130,100000,131248200,131148.2,114705888,114605.9,9699722,571855754,0.0,9581700,9481.7,4262341,4162.3,444643,66817500,0.0
17,1878,100000,223137422,223037.4,156667598,156567.6,8976795,2103102512,0.0,10506207,10406.2,4996700,4896.7,338604,94712318,0.0
18,1626,100000,285220138,285120.1,194990738,194890.7,19746783,1005385461,0.0,6715806,6615.8,6138373,6038.4,422574,18179670,0.0
19,1374,100000,466343302,466243.3,273131807,273031.8,60531148,1639504384,0.0,8303370,8203.4,7400566,7300.6,1501918,31670994,0.0
20,1122,100000,595423376,595323.4,414675619,414575.6,97438414,2447517921,0.0,7851814,7751.8,7792608,7692.6,1965971,20963942,0.0
